Year,Month,Value,city,month_date,treated,time
2022,Dec,3.9,Houston,2022-12-01,0,1
2023,Jan,4.5,Houston,2023-01-01,0,1
2023,Feb,4.5,Houston,2023-02-01,0,1
2023,Mar,4.2,Houston,2023-03-01,0,1
2023,Apr,3.7,Houston,2023-04-01,0,1
2023,May,4.1,Houston,2023-05-01,0,1
2023,Jun,4.4,Houston,2023-06-01,0,1
2023,Jul,4.4,Houston,2023-07-01,0,1
2023,Aug,4.5,Houston,2023-08-01,0,1
2023,Sep,4.3,Houston,2023-09-01,0,1
2023,Oct,4,Houston,2023-10-01,0,1
2023,Nov,3.9,Houston,2023-11-01,0,1
2023,Dec,3.9,Houston,2023-12-01,0,1
2024,Jan,4.3,Houston,2024-01-01,0,1
2024,Feb,4.4,Houston,2024-02-01,0,1
2024,Mar,4.1,Houston,2024-03-01,0,1
2024,Apr,3.7,Houston,2024-04-01,0,1
2024,May,4,Houston,2024-05-01,0,1
2024,Jun,4.7,Houston,2024-06-01,0,1
2024,Jul,5,Houston,2024-07-01,0,1
2024,Aug,4.8,Houston,2024-08-01,0,1
2024,Sep,4.4,Houston,2024-09-01,0,1
2024,Oct,4.3,Houston,2024-10-01,0,1
2024,Nov,4.4,Houston,2024-11-01,0,1
2024,Dec,4,Houston,2024-12-01,0,1
2025,Jan,4.4,Houston,2025-01-01,0,1
2020,Nov,5,Lawton,2020-11-01,0,0
2020,Dec,5,Lawton,2020-12-01,0,0
2021,Jan,5.2,Lawton,2021-01-01,0,0
2021,Feb,5,Lawton,2021-02-01,0,0
2021,Mar,4.4,Lawton,2021-03-01,0,0
2021,Apr,4.6,Lawton,2021-04-01,0,0
2021,May,4.8,Lawton,2021-05-01,0,0
2021,Jun,5.4,Lawton,2021-06-01,0,0
2021,Jul,4.5,Lawton,2021-07-01,0,0
2021,Aug,4.1,Lawton,2021-08-01,0,0
2021,Sep,3.4,Lawton,2021-09-01,0,0
2021,Oct,3.3,Lawton,2021-10-01,0,0
2021,Nov,3,Lawton,2021-11-01,0,0
2021,Dec,2.9,Lawton,2021-12-01,0,0
2022,Jan,3.7,Lawton,2022-01-01,0,1
2022,Feb,3.6,Lawton,2022-02-01,0,1
2022,Mar,3.3,Lawton,2022-03-01,0,1
2022,Apr,3,Lawton,2022-04-01,0,1
2022,May,3.5,Lawton,2022-05-01,0,1
2022,Jun,3.8,Lawton,2022-06-01,0,1
2022,Jul,3.7,Lawton,2022-07-01,0,1
2022,Aug,3.9,Lawton,2022-08-01,0,1
2022,Sep,3.7,Lawton,2022-09-01,0,1
2022,Oct,3.7,Lawton,2022-10-01,0,1
2022,Nov,3.4,Lawton,2022-11-01,0,1
2022,Dec,3.3,Lawton,2022-12-01,0,1
2023,Jan,3.7,Lawton,2023-01-01,0,1
2023,Feb,3.7,Lawton,2023-02-01,0,1
2023,Mar,3.3,Lawton,2023-03-01,0,1
2023,Apr,2.8,Lawton,2023-04-01,0,1
2023,May,3.8,Lawton,2023-05-01,0,1
2023,Jun,4,Lawton,2023-06-01,0,1
2023,Jul,3.7,Lawton,2023-07-01,0,1
2023,Aug,4.1,Lawton,2023-08-01,0,1
2023,Sep,4,Lawton,2023-09-01,0,1
2023,Oct,4.1,Lawton,2023-10-01,0,1
2023,Nov,3.9,Lawton,2023-11-01,0,1
2023,Dec,3.8,Lawton,2023-12-01,0,1
2024,Jan,4,Lawton,2024-01-01,0,1
2024,Feb,3.9,Lawton,2024-02-01,0,1
2024,Mar,3.5,Lawton,2024-03-01,0,1
2024,Apr,3.1,Lawton,2024-04-01,0,1
2024,May,3.7,Lawton,2024-05-01,0,1
2024,Jun,3.9,Lawton,2024-06-01,0,1
2024,Jul,3.8,Lawton,2024-07-01,0,1
2024,Aug,3.7,Lawton,2024-08-01,0,1
2024,Sep,3.5,Lawton,2024-09-01,0,1
2024,Oct,3.5,Lawton,2024-10-01,0,1
2024,Nov,3.5,Lawton,2024-11-01,0,1
2024,Dec,3.2,Lawton,2024-12-01,0,1
2025,Jan,3.8,Lawton,2025-01-01,0,1
2020,Nov,4.8,Louisville,2020-11-01,0,0
2020,Dec,4.7,Louisville,2020-12-01,0,0
2021,Jan,4.6,Louisville,2021-01-01,0,0
2021,Feb,4.6,Louisville,2021-02-01,0,0
2021,Mar,4.6,Louisville,2021-03-01,0,0
2021,Apr,4.6,Louisville,2021-04-01,0,0
2021,May,4.6,Louisville,2021-05-01,0,0
2021,Jun,4.6,Louisville,2021-06-01,0,0
2021,Jul,4.6,Louisville,2021-07-01,0,0
2021,Aug,4.5,Louisville,2021-08-01,0,0
2021,Sep,4.4,Louisville,2021-09-01,0,0
2021,Oct,4.3,Louisville,2021-10-01,0,0
